Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","Q15848","59","GC03P186842","10.011173248291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"SLCO2B1","Solute Carrier Organic Anion Transporter Family Member 2B1","Protein Coding","O94956","55","GC11P103763","9.83306694030762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO2B1"
"SERPINE1","Serpin Family E Member 1","Protein Coding","P05121","64","GC07P101127","9.52448272705078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","P14780","66","GC20P046008","9.28176116943359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"LDLR","Low Density Lipoprotein Receptor","Protein Coding","P01130","64","GC19P142248","9.22195434570313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR"
"ABCG2","ATP Binding Cassette Subfamily G Member 2 (JR Blood Group)","Protein Coding","Q9UNQ0","63","GC04M088090","8.98760795593262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG2"
"SELP","Selectin P","Protein Coding","P16109","59","GC01M169558","8.77566146850586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELP"
"ABCC1","ATP Binding Cassette Subfamily C Member 1 (ABCC1 Blood Group)","Protein Coding","P33527","61","GC16P015949","8.5061149597168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC1"
"LPL","Lipoprotein Lipase","Protein Coding","P06858","63","GC08P019901","8.47062110900879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","P05362","63","GC19P142230","8.3417387008667","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"GPT","Glutamic--Pyruvic Transaminase","Protein Coding","P24298","55","GC08P144502","8.2822961807251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT"
"PLAT","Plasminogen Activator, Tissue Type","Protein Coding","P00750","62","GC08M042174","8.22413635253906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAT"
"CD40LG","CD40 Ligand","Protein Coding","P29965","63","GC0XP136649","8.20995330810547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG"
"VWF","Von Willebrand Factor","Protein Coding","P04275","61","GC12M034378","8.16569805145264","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF"
"LIPC","Lipase C, Hepatic Type","Protein Coding","P11150","59","GC15P058410","8.03409385681152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPC"
"ABCC2","ATP Binding Cassette Subfamily C Member 2","Protein Coding","Q92887","61","GC10P099782","7.92618227005005","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC2"
"SELE","Selectin E","Protein Coding","P16581","57","GC01M169722","7.88954257965088","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELE"
"APOC3","Apolipoprotein C3","Protein Coding","P02656","58","GC11P116829","7.62858963012695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOC3"
"RHOA","Ras Homolog Family Member A","Protein Coding","P61586","63","GC03M049359","7.59431171417236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA"
"EDN1","Endothelin 1","Protein Coding","P05305","61","GC06P012696","7.43310117721558","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN1"
"PCSK9","Proprotein Convertase Subtilisin/Kexin Type 9","Protein Coding","Q8NBP7","63","GC01P055039","7.32422828674316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK9"
"OLR1","Oxidized Low Density Lipoprotein Receptor 1","Protein Coding","P78380","56","GC12M034544","7.30573225021362","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OLR1"
"UGT1A1","UDP Glucuronosyltransferase Family 1 Member A1","Protein Coding","P22309","64","GC02P233760","7.30020713806152","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A1"
"UGT1A3","UDP Glucuronosyltransferase Family 1 Member A3","Protein Coding","P35503","52","GC02P233729","7.29326772689819","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A3"
"CYP7A1","Cytochrome P450 Family 7 Subfamily A Member 1","Protein Coding","P22680","55","GC08M058490","7.25422668457031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP7A1"
"ABCA1","ATP Binding Cassette Subfamily A Member 1","Protein Coding","O95477","61","GC09M104781","7.24096918106079","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA1"
"ABCG8","ATP Binding Cassette Subfamily G Member 8","Protein Coding","Q9H221","54","GC02P044543","7.20686721801758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG8"
"RETN","Resistin","Protein Coding","Q9HD89","55","GC19P007669","7.18886184692383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETN"
"VCAM1","Vascular Cell Adhesion Molecule 1","Protein Coding","P19320","59","GC01P100719","7.14709091186523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1"
"IL10","Interleukin 10","Protein Coding","P22301","60","GC01M206767","7.07195663452148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"MTTP","Microsomal Triglyceride Transfer Protein","Protein Coding","P55157","57","GC04P099563","7.01787567138672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTTP"
"SCARB1","Scavenger Receptor Class B Member 1","Protein Coding","Q8WTV0","60","GC12M124776","6.98738145828247","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARB1"
"PIK3C2A","Phosphatidylinositol-4-Phosphate 3-Kinase Catalytic Subunit Type 2 Alpha","Protein Coding","O00443","60","GC11M018080","6.88801717758179","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C2A"
"SLCO1B3","Solute Carrier Organic Anion Transporter Family Member 1B3","Protein Coding","Q9NPD5","57","GC12P020810","6.72842502593994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO1B3"
"SREBF1","Sterol Regulatory Element Binding Transcription Factor 1","Protein Coding","P36956","61","GC17M017810","6.71683168411255","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SREBF1"
"THBD","Thrombomodulin","Protein Coding","P07204","59","GC20M023026","6.71628475189209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBD"
"RHOD","Ras Homolog Family Member D","Protein Coding","O00212","49","GC11P103475","6.66093730926514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOD"
"TIMP1","TIMP Metallopeptidase Inhibitor 1","Protein Coding","P01033","57","GC0XP060044","6.60010194778442","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP1"
"CHKA","Choline Kinase Alpha","Protein Coding","P35790","57","GC11M068052","6.57405471801758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHKA"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","P08253","66","GC16P113682","6.54409313201904","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"ITGAM","Integrin Subunit Alpha M","Protein Coding","P11215","62","GC16P113208","6.52715492248535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAM"
"NPPB","Natriuretic Peptide B","Protein Coding","P16860","56","GC01M020959","6.48186111450195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPB"
"MMP1","Matrix Metallopeptidase 1","Protein Coding","P03956","63","GC11M137190","6.36690187454224","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1"
"CYP2C8","Cytochrome P450 Family 2 Subfamily C Member 8","Protein Coding","P10632","60","GC10M095038","6.34014129638672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C8"
"SLC17A5","Solute Carrier Family 17 Member 5","Protein Coding","Q9NRA2","58","GC06M073593","6.33343362808228","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A5"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","P15692","61","GC06P043770","6.28991460800171","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"LPA","Lipoprotein(A)","Protein Coding","P08519","55","GC06M160531","6.27040910720825","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPA"
"HMOX1","Heme Oxygenase 1","Protein Coding","P09601","65","GC22P035380","6.26382780075073","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","P12821","64","GC17P063477","6.2306489944458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"TLR4","Toll Like Receptor 4","Protein Coding","O00206","64","GC09P117704","6.21350526809692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"NR1H3","Nuclear Receptor Subfamily 1 Group H Member 3","Protein Coding","Q13133","59","GC11P047248","6.17464447021484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H3"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","66","GC03P012287","6.13553047180176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"TNFRSF11B","TNF Receptor Superfamily Member 11b","Protein Coding","O00300","60","GC08M118923","6.12759256362915","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11B"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","6.10254096984863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"BMP2","Bone Morphogenetic Protein 2","Protein Coding","P12643","59","GC20P006767","6.02677726745605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2"
"FASLG","Fas Ligand","Protein Coding","P48023","61","GC01P172659","5.97250843048096","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG"
"SREBF2","Sterol Regulatory Element Binding Transcription Factor 2","Protein Coding","Q12772","56","GC22P041833","5.96251678466797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SREBF2"
"CYP2B6","Cytochrome P450 Family 2 Subfamily B Member 6","Protein Coding","P20813","59","GC19P040991","5.91930961608887","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2B6"
"PLA2G7","Phospholipase A2 Group VII","Protein Coding","Q13093","63","GC06M046704","5.86790752410889","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G7"
"SELL","Selectin L","Protein Coding","P14151","56","GC01M169690","5.80461025238037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELL"
"LEPR","Leptin Receptor","Protein Coding","P48357","63","GC01P070891","5.80016469955444","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPR"
"SOAT1","Sterol O-Acyltransferase 1","Protein Coding","P35610","56","GC01P179309","5.77955055236816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOAT1"
"KIF6","Kinesin Family Member 6","Protein Coding","Q6ZMV9","49","GC06M103490","5.75298881530762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF6"
"PPARA","Peroxisome Proliferator Activated Receptor Alpha","Protein Coding","Q07869","57","GC22P046150","5.69656276702881","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARA"
"RAC1","Rac Family Small GTPase 1","Protein Coding","P63000","62","GC07P017475","5.68664312362671","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAC1"
"CD59","CD59 Molecule (CD59 Blood Group)","Protein Coding","P13987","59","GC11M033733","5.67857885360718","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD59"
"IL18","Interleukin 18","Protein Coding","Q14116","57","GC11M112143","5.67371511459351","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18"
"CD40","CD40 Molecule","Protein Coding","P25942","63","GC20P046118","5.66001605987549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40"
"CD55","CD55 Molecule (Cromer Blood Group)","Protein Coding","P08174","62","GC01P207321","5.63403940200806","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD55"
"LCAT","Lecithin-Cholesterol Acyltransferase","Protein Coding","P04180","60","GC16M067939","5.63403940200806","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCAT"
"APOA5","Apolipoprotein A5","Protein Coding","Q6Q788","56","GC11M116789","5.620680809021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA5"
"CD36","CD36 Molecule (CD36 Blood Group)","Protein Coding","P16671","63","GC07P080369","5.52591419219971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD36"
"PLAU","Plasminogen Activator, Urokinase","Protein Coding","P00749","64","GC10P073909","5.49393463134766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAU"
"F5","Coagulation Factor V","Protein Coding","P12259","60","GC01M169511","5.49393463134766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F5"
"PGF","Placental Growth Factor","Protein Coding","P49763","56","GC14M074941","5.47510528564453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGF"
"POR","Cytochrome P450 Oxidoreductase","Protein Coding","P16435","61","GC07P075899","5.39108037948608","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POR"
"PPIG","Peptidylprolyl Isomerase G","Protein Coding","Q13427","53","GC02P169584","5.37173080444336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIG"
"GHRL","Ghrelin And Obestatin Prepropeptide","Protein Coding","Q9UBU3","54","GC03M010285","5.31241178512573","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRL"
"FABP4","Fatty Acid Binding Protein 4","Protein Coding","P15090","56","GC08M081478","5.28658056259155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP4"
"PTGS2","Prostaglandin-Endoperoxide Synthase 2","Protein Coding","P35354","63","GC01M186671","5.07764387130737","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2"
"SHBG","Sex Hormone Binding Globulin","Protein Coding","P04278","55","GC17P007613","5.07213973999023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG"
"CYP2C9","Cytochrome P450 Family 2 Subfamily C Member 9","Protein Coding","P11712","59","GC10P094938","5.01117753982544","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C9"
"AGT","Angiotensinogen","Protein Coding","P01019","63","GC01M230690","4.96885681152344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","P01589","63","GC10M006010","4.88876867294312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"PLA2G2A","Phospholipase A2 Group IIA","Protein Coding","P14555","60","GC01M019975","4.88473033905029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G2A"
"FDPS","Farnesyl Diphosphate Synthase","Protein Coding","P14324","59","GC01P155308","4.86867189407349","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDPS"
"THBS1","Thrombospondin 1","Protein Coding","P07996","59","GC15P039581","4.85323619842529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBS1"
"ALB","Albumin","Protein Coding","P02768","61","GC04P073397","4.78110647201538","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"ALPP","Alkaline Phosphatase, Placental","Protein Coding","P05187","57","GC02P232378","4.78110647201538","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPP"
"BMP6","Bone Morphogenetic Protein 6","Protein Coding","P22004","57","GC06P007726","4.78110647201538","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP6"
"CYP2D6","Cytochrome P450 Family 2 Subfamily D Member 6 (Gene/Pseudogene)","Protein Coding","P10635","60","GC22M042126","4.78015947341919","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2D6"
"CYP2C19","Cytochrome P450 Family 2 Subfamily C Member 19","Protein Coding","P33261","58","GC10P094762","4.54900789260864","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C19"
"AGTR1","Angiotensin II Receptor Type 1","Protein Coding","P30556","65","GC03P148697","4.45500659942627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1"
"FDFT1","Farnesyl-Diphosphate Farnesyltransferase 1","Protein Coding","P37268","59","GC08P011795","4.41381359100342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDFT1"
"HSP90AA1","Heat Shock Protein 90 Alpha Family Class A Member 1","Protein Coding","P07900","64","GC14M102080","4.38449954986572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1"
"NR1I3","Nuclear Receptor Subfamily 1 Group I Member 3","Protein Coding","Q14994","56","GC01M161229","4.36720180511475","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1I3"
"IL1RN","Interleukin 1 Receptor Antagonist","Protein Coding","P18510","63","GC02P151137","4.35300540924072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN"
"CES1","Carboxylesterase 1","Protein Coding","P23141","61","GC16M055836","4.28431510925293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CES1"
"SCAP","SREBF Chaperone","Protein Coding","Q12770","54","GC03M047413","4.28431510925293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAP"
"ABCC4","ATP Binding Cassette Subfamily C Member 4 (PEL Blood Group)","Protein Coding","O15439","59","GC13M095019","4.23787832260132","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC4"
"MYLIP","Myosin Regulatory Light Chain Interacting Protein","Protein Coding","Q8WY64","49","GC06P016129","4.22425889968872","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYLIP"
"SLC10A2","Solute Carrier Family 10 Member 2","Protein Coding","Q12908","54","GC13M103043","4.18069124221802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC10A2"
"HTR7","5-Hydroxytryptamine Receptor 7","Protein Coding","P34969","58","GC10M090740","4.08668994903564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR7"
"ABCC5","ATP Binding Cassette Subfamily C Member 5","Protein Coding","O15440","56","GC03M183919","4.08668994903564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC5"
"HTR3B","5-Hydroxytryptamine Receptor 3B","Protein Coding","O95264","54","GC11P114329","4.08668994903564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR3B"
"BGLAP","Bone Gamma-Carboxyglutamate Protein","Protein Coding","P02818","53","GC01P156242","4.07063341140747","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BGLAP"
"HMGA1","High Mobility Group AT-Hook 1","Protein Coding","P17096","59","GC06P173175","3.95612716674805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGA1"
"DPP4","Dipeptidyl Peptidase 4","Protein Coding","P27487","63","GC02M161992","3.72918844223022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPP4"
"RYR2","Ryanodine Receptor 2","Protein Coding","Q92736","60","GC01P237042","3.72918844223022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR2"
"NR1I2","Nuclear Receptor Subfamily 1 Group I Member 2","Protein Coding","O75469","56","GC03P119780","3.70364737510681","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1I2"
"SLCO1A2","Solute Carrier Organic Anion Transporter Family Member 1A2","Protein Coding","P46721","52","GC12M021264","3.69192314147949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO1A2"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","P01911","59","GC06M103386","3.68211317062378","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"BDKRB2","Bradykinin Receptor B2","Protein Coding","P30411","57","GC14P096205","3.68211317062378","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDKRB2"
"CYP3A7","Cytochrome P450 Family 3 Subfamily A Member 7","Protein Coding","P24462","51","GC07M099705","3.68211317062378","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A7"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","64","GC10P120086","3.59943294525146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"CXCL10","C-X-C Motif Chemokine Ligand 10","Protein Coding","P02778","57","GC04M076021","3.43896317481995","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10"
"HDAC2","Histone Deacetylase 2","Protein Coding","Q92769","66","GC06M113933","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC2"
"MLH1","MutL Homolog 1","Protein Coding","P40692","62","GC03P036993","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","P54278","62","GC07M005973","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"AHR","Aryl Hydrocarbon Receptor","Protein Coding","P35869","61","GC07P016916","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHR"
"EPCAM","Epithelial Cell Adhesion Molecule","Protein Coding","P16422","61","GC02P047345","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPCAM"
"MSH2","MutS Homolog 2","Protein Coding","P43246","61","GC02P047403","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2"
"MSH6","MutS Homolog 6","Protein Coding","P52701","61","GC02P047695","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6"
"ABCB11","ATP Binding Cassette Subfamily B Member 11","Protein Coding","O95342","60","GC02M168922","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB11"
"FH","Fumarate Hydratase","Protein Coding","P07954","59","GC01M241499","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FH"
"MCM7","Minichromosome Maintenance Complex Component 7","Protein Coding","P33993","59","GC07M100092","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM7"
"TG","Thyroglobulin","Protein Coding","P01266","57","GC08P132866","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TG"
"MCM6","Minichromosome Maintenance Complex Component 6","Protein Coding","Q14566","56","GC02M135839","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM6"
"COL13A1","Collagen Type XIII Alpha 1 Chain","Protein Coding","Q5TAT6","54","GC10P069801","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL13A1"
"COQ2","Coenzyme Q2, Polyprenyltransferase","Protein Coding","Q96H96","53","GC04M083261","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ2"
"CPAP","Centrosome Assembly And Centriole Elongation Protein","Protein Coding","Q9HC77","53","GC13M024882","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPAP"
"FSTL1","Follistatin Like 1","Protein Coding","Q12841","53","GC03M120392","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSTL1"
"LILRB5","Leukocyte Immunoglobulin Like Receptor B5","Protein Coding","O75023","48","GC19M105484","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LILRB5"
"CIMT","Carotid Intimal Medial Thickness","Genetic Locus","","2","GC12U900443","3.41398096084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIMT"
"ABCG5","ATP Binding Cassette Subfamily G Member 5","Protein Coding","Q9H222","58","GC02M043806","3.32394480705261","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG5"
"PLTP","Phospholipid Transfer Protein","Protein Coding","P55058","57","GC20M045898","3.12835597991943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLTP"
"INS","Insulin","Protein Coding","P01308","61","GC11M002159","3.10247421264648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","66","GC19M041301","3.00364065170288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","P42898","61","GC01M011785","2.93271422386169","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"DRD3","Dopamine Receptor D3","Protein Coding","P35462","57","GC03M114128","2.93271422386169","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD3"
"SERPINC1","Serpin Family C Member 1","Protein Coding","P01008","63","GC01M175109","2.82773685455322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINC1"
"MAPK10","Mitogen-Activated Protein Kinase 10","Protein Coding","P53779","60","GC04M085990","2.81709384918213","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK10"
"SOD1","Superoxide Dismutase 1","Protein Coding","P00441","66","GC21P031659","2.71900510787964","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1"
"MAPK14","Mitogen-Activated Protein Kinase 14","Protein Coding","Q16539","64","GC06P173199","2.64917707443237","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14"
