Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,Idication,,,,"
"
1nu4_v,3,2.845,0.9485,0.88135,0,2,0,0,1,0,U1 small nuclear ribonucleoprotein A,NONE,P09012,Involved in nucleotide binding,NONE,NONE,,,,"
"
1pmv_v,3,2.836,0.9453,0.396049,2,1,0,0,0,0,Mitogen-activated protein kinase 10,TRANSFERASE,MK10_HUMAN,"Responds to activation by environmental stress and pro- inflammatory cytokines by phosphorylating a number of transcription factors, primarily components of AP-1 such as c-Jun and ATF2 and thus regulates AP-1 transcriptional activity. Required for stress-",A chromosomal rearrangement involving MAPK10 is a cause of epileptic encephalopathy Lennox-Gastaut type [MIM:606369]. Translocation t(Y;4)(q11.2;q21) which causes MAPK10 truncation. Epileptic encephalopathies of the Lennox-Gastaut group are childhood epileptic disorders characterized by severe psychomotor delay and seizures.,Central nervous system disease;Inflammation;Pulmonary fibrosis;Ischemia;Cerebrovascular ischemia;Neurodegenerative disease,,,,"
"
1uki_v,3,2.821,0.9403,0.532389,2,1,0,0,0,0,Mitogen-activated protein kinase 8,TRANSFERASE,MK08_HUMAN,"Responds to activation by environmental stress and pro- inflammatory cytokines by phosphorylating a number of transcription factors, primarily components of AP-1 such as JUN, JDP2 and ATF2 and thus regulates AP-1 transcriptional activity. In T-cells, JNK1;JNK1 isoforms display different binding patterns: beta-1 preferentially binds to c-Jun, whereas alpha-1, alpha-2, and beta- 2 have a similar low level of binding to both c-Jun or ATF2. However, there is no correlation between binding and phosphorylation, ",NONE,Psoriasis;Asthma;Cancer;Neurodegenerative disease;Inflammation;Liver disease;Acute myelogenous leukemia;Diabetes mellitus;Pulmonary fibrosis;Ischemia,,,,"
"
1yb1_v,3,2.799,0.9329,0.57945,2,0,1,0,0,0,Estradiol 17-beta-dehydrogenase 11,OXIDOREDUCTASE,DHB11_HUMAN,"Can convert androstan-3-alpha,17-beta-diol (3-alpha- diol) to androsterone in vitro, suggesting that it may participate in androgen metabolism during steroidogenesis. May act by metabolizing compounds that stimulate steroid synthesis and/or by generating ",NONE,Prostate tumor,,,,"
"
1ih0_v,4,3.714,0.9286,2.93709,3,0,1,0,0,0,"Troponin C, slow skeletal and cardiac muscles",NONE,P63316,Involved in calcium ion binding,NONE,For short term treatment of acutely decompensated severe chronic heart failure (CHF). Also being investigated for use/treatment in heart disease.,,,,"
"
1okn_v,4,3.695,0.9238,2.98128,2,2,0,0,0,0,Carbonic anhydrase 2,LYASE,CAH2_HUMAN,Essential for bone resorption and osteoclast differentiation (By similarity). Reversible hydration of carbon dioxide.,"Defects in CA2 are the cause of autosomal recessive osteopetrosis type 3 (OPTB3) [MIM:259730]; also known as osteopetrosis with renal tubular acidosis, carbonic anhydrase II deficiency syndrome, Guibaud-Vainsel syndrome or marble brain disease. Osteopetrosis is a rare genetic disease characterized by abnormally dense bone, due to defective resorption of immature bone. The disorder occurs in two forms: a severe autosomal recessive form occurring in utero, infancy, or childhood, and a benign autosomal dominant form occurring in adolescence or adulthood. Autosomal recessive osteopetrosis is usually associated with normal or elevated amount of non-functional osteoclasts. OPTB3 is associated with renal tubular acidosis, cerebral calcification (marble brain disease) and in some cases with mental retardation.",NONE,,,,"
"
1bm6_v,3,2.762,0.9207,0.358858,2,1,0,0,0,0,Stromelysin-1,METALLOPROTEASE,MMP3_HUMAN,"Can degrade fibronectin, laminin, gelatins of type I, III, IV, and V; collagens III, IV, X, and IX, and cartilage proteoglycans. Activates procollagenase.",NONE,NONE,,,,"
"
1xka_v,3,2.762,0.9207,0.605929,0,0,2,0,1,0,Coagulation factor X,BLOOD COAGULATION FACTOR,FA10_HUMAN,"Factor Xa is a vitamin K-dependent glycoprotein that converts prothrombin to thrombin in the presence of factor Va, calcium and phospholipid during blood clotting.",NONE,Thromboembolism,,,,"
"
2pg2_v,3,2.742,0.9141,0.3804,3,0,0,0,0,0,Kinesin-like protein KIF11,"MOTOR PROTEIN,CELL CYCLE",KIF11_HUMAN,Motor protein required for establishing a bipolar spindle. Blocking of KIF11 prevents centrosome migration and arrest cells in mitosis with monoastral microtubule arrays.,NONE,Melanoma;Hodgkins disease;Acute leukemia;Breast tumor;Head and neck tumor;Hepatocellular carcinoma;Ovary tumor;Prostate tumor;Solid tumor;Non-Hodgkin lymphoma;Cancer;Non-small-cell lung cancer;Renal cell carcinoma;Colorectal tumor,,,,"
"
1bzm_v,3,2.689,0.8963,0.520426,0,1,2,0,0,0,Carbonic anhydrase 1,LYASE(OXO-ACID),CAH1_HUMAN,Reversible hydration of carbon dioxide.,NONE,NONE,,,,"
"
1w8l_v,3,2.682,0.8941,0.160997,2,1,0,0,0,0,Peptidyl-prolyl cis-trans isomerase A,NONE,P62937,"Posttranslational modification, protein turnover, chaperones",NONE,"For treatment of transplant rejection, rheumatoid arthritis, severe psoriasis",,,,"
"
1dvz_v,3,2.678,0.8927,0.128232,2,1,0,0,0,0,Transthyretin,HORMONE/GROWTH FACTOR,TTHY_HUMAN,Thyroid hormone-binding protein. Probably transports thyroxine from the bloodstream to the brain.,"Defects in TTR are the cause of amyloidosis type 1 (AMYL1) [MIM:176300]. AMYL1 is a hereditary generalized amyloidosis due to transthyretin amyloid deposition. Protein fibrils can form in different tissues leading to amyloid polyneuropathies, amyloidotic cardiomyopathy, carpal tunnel syndrome, systemic senile amyloidosis.;Defects in TTR are the cause of amyloidosis type 7 (AMYL7) [MIM:105210]; also known as leptomeningeal amyloidosis or meningocerebrovascular amyloidosis. AMYL7 is a form of hereditary transthyretin amyloidosis characterized by primary involvement of the central nervous system. Neuropathologic examination shows amyloid in the walls of leptomeningeal vessels, in pia arachnoid, and subpial deposits. Some patients also develop vitreous amyloid deposition that leads to visual impairment (oculoleptomeningeal amyloidosis). Clinical features include seizures, stroke-like episodes, dementia, psychomotor deterioration, variable amyloid deposition in the vitreous humor. Mild systemic amyloidosis may occurr.;Defects in TTR are a cause of hyperthyroxinemia [MIM:176300].",NONE,,,,"
"
3hvc_v,3,2.643,0.8809,0.233007,3,0,0,0,0,0,NONE,NONE,NONE,NONE,NONE,NONE,,,,"
"
1oj9_v,3,2.64,0.8799,0.218983,3,0,0,0,0,0,Amine oxidase [flavin-containing] B,OXIDOREDUCTASE,AOFB_HUMAN,Catalyzes the oxidative deamination of biogenic and xenobiotic amines and has important functions in the metabolism of neuroactive and vasoactive amines in the central nervous system and peripheral tissues. MAOB preferentially degrades benzylamine and phe,NONE,Alzheimers disease;Cocaine addiction;Major depressive disorder;Epilepsy;Neurodegenerative disease;Attention deficit hyperactivity disorder;Head injury;Parkinsons disease;Dementia;Nicotine dependence;Cerebrovascular ischemia,,,,"
"
1fv9_v,3,2.636,0.8786,0.551211,0,0,3,0,0,0,Urokinase-type plasminogen activator,BLOOD CLOTTING,UROK_HUMAN,Specifically cleave the zymogen plasminogen to form the active enzyme plasmin.,NONE,Angiogenesis disorder;Ulcer;Cancer;Lung embolism;Restenosis;Metastasis;Skin ulcer;Cardiovascular disease,,,,"
"
2brg_v,3,2.632,0.8774,0.30641,2,1,0,0,0,0,Serine/threonine-protein kinase Chk1,TRANSFERASE,CHK1_HUMAN,Required for checkpoint mediated cell cycle arrest in response to DNA damage or the presence of unreplicated DNA. May also negatively regulate cell cycle progression during unperturbed cell cycles. Recognizes the substrate consensus sequence [R-X-X- S/T].,NONE,Cancer;Solid tumor,,,,"
"
2ovm_v,3,2.614,0.8714,0.304549,2,1,0,0,0,0,Progesterone receptor,TRANSCRIPTION,PRGR_HUMAN,The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues.,NONE,Uterine fibroids;Menstruation disorder;Infertility;Acne;Breast tumor;Female contraception;Neoplasm;Planned abortion;Dysmenorrhea;Endometriosis;Hormone deficiency;Unidentified indication;Gynecological disorder;Musculoskeletal disease;Estrogen deficiency;Cancer;Contraception;Amenorrhea;Female infertility;Carcinoma;Menopause;Premenstrual syndrome;Anesthesia;Age related macular degeneration;Osteoporosis,,,,"
"
2pin_v,3,2.605,0.8684,-0.232842,3,0,0,0,0,0,Thyroid hormone receptor beta,NONE,P10828,"Nuclear hormone receptor that can act as a repressor or activator of transcription. High affinity receptor for thyroid hormones, including triiodothyronine and thyroxine.",NONE,NONE,,,,"
"
1gfw_v,3,2.589,0.863,0.257376,2,1,0,0,0,0,Caspase-3,HYDROLASE,CASP3_HUMAN,Involved in the activation cascade of caspases responsible for apoptosis execution. At the onset of apoptosis it proteolytically cleaves poly(ADP-ribose) polymerase (PARP) at a 216-Asp-,-Gly-217 bond. Cleaves and activates sterol regulatory element bind,NONE,Cancer;Liver disease;Cognitive disorder;Neurodegenerative disease;Cerebrovascular ischemia,,,"
"
1udu_v,3,2.479,0.8264,-0.0982021,2,0,1,0,0,0,"cGMP-specific 3,5-cyclic phosphodiesterase",HYDROLASE,PDE5A_HUMAN,Plays a role in signal transduction by regulating the intracellular concentration of cyclic nucleotides. This phosphodiesterase catalyzes the specific hydrolysis of cGMP to 5- GMP.,NONE,Anal fissure;Raynauds disease;Cardiac failure;Thrombosis;Diabetic complication;Prostate hyperplasia;Erectile dysfunction;Urinary tract disease;Female sexual dysfunction;Vascular disease;Viral infection;Cancer;Atherosclerosis;Pulmonary disease;Metabolic disorder;Hypertension;Cardiovascular disease;Pulmonary hypertension;Angina;Male sexual dysfunction,,,,"
"
1lyw_v,3,2.466,0.8221,-0.076629,1,2,0,0,0,0,Cathepsin D,ASPARTIC PROTEASE,CATD_HUMAN,Acid protease active in intracellular protein breakdown. Involved in the pathogenesis of several diseases such as breast cancer and possibly Alzheimer disease.,"Defects in CTSD are the cause of neuronal ceroid lipofuscinosis 10 (CLN10) [MIM:610127]; also known as neuronal ceroid lipofuscinosis due to cathepsin D deficiency. The neuronal ceroid lipofuscinosis are a group of progressive neurodegenerative diseases in children and in adults, characterized by visual and mental decline, motor disturbance, epilepsy and behavioral changes.",NONE,,,,"
"
2ohp_v,3,2.456,0.8186,-0.152101,2,0,1,0,0,0,Beta-secretase 1,HYDROLASE,BACE1_HUMAN,"Responsible for the proteolytic processing of the amyloid precursor protein (APP). Cleaves at the N-terminus of the A-beta peptide sequence, between residues 671 and 672 of APP, leads to the generation and extracellular release of beta-cleaved soluble APP",NONE,Alzheimers disease,,,,"
"
2exm_v,3,2.446,0.8155,-0.107729,1,1,1,0,0,0,Cell division protein kinase 2,NONE,P24941,Involved in protein kinase activity,NONE,NONE,,,,"
"
2oji_v,3,2.386,0.7953,-0.237646,2,1,0,0,0,0,Mitogen-activated protein kinase 1,TRANSFERASE,MK01_HUMAN,"Involved in both the initiation and regulation of meiosis, mitosis, and postmitotic functions in differentiated cells by phosphorylating a number of transcription factors such as ELK1. Phosphorylates EIF4EBP1; required for initiation of translation. Phosp",NONE,NONE,,,,"
"
1jd0_v,3,2.38,0.7933,-0.239491,0,2,1,0,0,0,Carbonic anhydrase 12,LYASE,CAH12_HUMAN,Reversible hydration of carbon dioxide.,NONE,NONE,,,,"
"
1vec_v,3,2.379,0.793,-0.407125,0,3,0,0,0,0,Probable ATP-dependent RNA helicase DDX6,RNA BINDING PROTEIN,DDX6_HUMAN,"In the process of mRNA degradation, may play a role in mRNA decapping.",A chromosomal aberration involving DDX6 may be a cause of hematopoietic tumors such as B-cell lymphomas. Translocation t(11;14)(q23;q32).,NONE,,,,"
"
1lbk_v,3,2.371,0.7904,-0.762473,1,2,0,0,0,0,Glutathione S-transferase P,TRANSFERASE,GSTP1_HUMAN,Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles.,NONE,NONE,,,,"
"
1kbo_v,4,3.12,0.7801,1.34475,3,0,1,0,0,0,NAD(P)H dehydrogenase [quinone] 1,OXIDOREDUCTASE,NQO1_HUMAN,The enzyme apparently serves as a quinone reductase in connection with conjugation reactions of hydroquinons involved in detoxification pathways as well as in biosynthetic processes such as the vitamin K-dependent gamma-carboxylation of glutamate residues,NONE,NONE,,,,"
"
1rs0_v,3,2.323,0.7742,-1.03884,2,1,0,0,0,0,Complement factor B,HYDROLASE,CFAB_HUMAN,"Factor B which is part of the alternate pathway of the complement system is cleaved by factor D into 2 fragments: Ba and Bb. Bb, a serine protease, then combines with complement factor 3b to generate the C3 or C5 convertase. It has also been implicated in",NONE,NONE,,,,"
"
1zgy_v,3,2.302,0.7673,-0.367656,2,1,0,0,0,0,Peroxisome proliferator-activated receptor gamma,TRANSCRIPTION,PPARG_HUMAN,"Receptor that binds peroxisome proliferators such as hypolipidemic drugs and fatty acids. Once activated by a ligand, the receptor binds to a promoter element in the gene for acyl-CoA oxidase and activates its transcription. It therefore controls the pero","Defects in PPARG can lead to type 2 insulin-resistant diabetes and hyptertension.;Defects in PPARG may be associated with susceptibility to obesity [MIM:601665].;Defects in PPARG may be associated with colon cancer.;Defects in PPARG are the cause of familial partial lipodystrophy type 3 (FPLD3) [MIM:604367]. Familial partial lipodystrophies (FPLD) are a heterogeneous group of genetic disorders characterized by marked loss of subcutaneous (sc) fat from the extremities. Affected individuals show an increased preponderance of insulin resistance, diabetes mellitus and dyslipidemia.;Variation in PPARG is associated with carotid intimal medial thickness 1 (CIMT1) [MIM:609338]. CIMT is a measure of atherosclerosis that is independently associated with traditional atherosclerotic cardiovascular disease risk factors and coronary atherosclerotic burden. 35 to 45% of the variability in multivariable-adjusted CIMT is explained by genetic factors.",Asthma;Cerebrovascular ischemia;Conjunctivitis;Inflammation;Multiple sclerosis;Fibrosis;Unidentified indication;Psoriasis;Heart arrhythmia;Rheumatoid arthritis;Atherosclerosis;Corneal disease;Cardiovascular disease;Ulcerative colitis;Alzheimers disease;Infertility;Syndrome X;Lipid metabolism disorder;Non-insulin dependent diabetes;Metabolic disorder;Diabetic complication;Hyperlipidemia;Lacrimal gland disease;Myocardial infarction;Obesity;Coronary artery disease;Insulin dependent diabetes;Vascular disease;Cancer;Cognitive disorder;Hypertension;Diabetes mellitus;Osteoporosis;Dermatological disease,,,,"
"
1ung_v,3,2.295,0.7649,-0.183617,1,1,1,0,0,0,Cyclin-dependent kinase 5 activator 1,COMPLEX(KINASE/ACTIVATOR),CD5R1_HUMAN,p35 is a neuron specific activator of CDK5. The complex p35/CDK5 is required for neurite outgrowth and cortical lamination. Activator of TPKII.,"Cleavage of p35 to p25 may be involved in the pathogenesis of Alzheimer disease. The p25 form accumulates in neurons in the brain of patients with Alzheimer disease, but not in normal brain. This accumulation correlates with an increase in CDK5 kinase activity. Application of amyloid beta peptide A- beta(1-42) induced the conversion of p35 to p25 in primary cortical neurons. Expression of the p25/Cdk5 complex in cultured primary neurons induces cytoskeletal disruption, morphological degeneration and apoptosis.",Neurodegenerative disease,,,,"
"
1vjy_v,4,3.038,0.7594,1.05707,3,1,0,0,0,0,TGF-beta receptor type-1,TRANSFERASE,TGFR1_HUMAN,"On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional","Defects in TGFBR1 are the cause of Loeys-Dietz syndrome type 1A (LDS1A) [MIM:609192]; also known as Furlong syndrome or Loeys-Dietz aortic aneurysm syndrome (LDAS). LDS1 is an aortic aneurysm syndrome with widespread systemic involvement. The disorder is characterized by arterial tortuosity and aneurysms, craniosynostosis, hypertelorism, and bifid uvula or cleft palate. Other findings include exotropy, micrognathia and retrognathia, structural brain abnormalities, intellectual deficit, congenital heart disease, translucent skin, joint hyperlaxity and aneurysm with dissection throughout the arterial tree.;Defects in TGFBR1 are the cause of Loeys-Dietz syndrome type 2A (LDS2A) [MIM:608967]. LDS2 is an aortic aneurysm syndrome with widespread systemic involvement. Physical findings include prominent joint laxity, easy bruising, wide and atrophic scars, velvety and translucent skin with easily visible veins, spontaneous rupture of the spleen or bowel, diffuse arterial aneurysms and dissections, and catastrophic complications of pregnancy, including rupture of the gravid uterus and the arteries, either during pregnancy or in the immediate postpartum period. LDS2 is characterized by the absence of craniofacial abnormalities with the exception of bifid uvula that can be present in some patients.;Defects in TGFBR1 are the cause of aortic aneurysm familial thoracic type 5 (AAT5) [MIM:608967]. Aneurysms and dissections of the aorta usually result from degenerative changes in the aortic wall. Thoracic aortic aneurysms and dissections are primarily associated with a characteristic histologic appearance known as medial necrosis in which there is degeneration and fragmentation of elastic fibers, loss of smooth muscle cells, and an accumulation of basophilic ground substance.",Skin burns;Glomerulonephritis;Wound healing;Renal disease;Scleroderma;Glaucoma;Diabetic complication;Scar tissue;Inflammation;Urinary tract disease;Pulmonary fibrosis;Diabetic nephropathy;Fibrosis;Solid tumor;Angiogenesis disorder;Glioma;Cancer;Atherosclerosis;Glomerular disease;Lung tumor;Nephritis;Immune disorder;Bone marrow transplantation,,,,"
"
1v3q_v,3,2.274,0.7579,-0.674016,1,2,0,0,0,0,Purine nucleoside phosphorylase,TRANSFERASE,PNPH_HUMAN,NONE,Defects in NP are the cause of nucleoside phosphorylase deficiency (NP deficiency) [MIM:164050]. It leads to a severe T- cell immunodeficiency with neurologic disorder in children.,T-cell lymphoma;Autoimmune disease;HIV infection;Dermatitis;Chronic lymphocytic leukemia;Acquired Immune Deficiency Syndrome;Inflammation;Multiple sclerosis;Solid tumor;Psoriasis;Non-Hodgkin lymphoma;Viral infection;Cancer;Rheumatoid arthritis;Leukemia;B-cell acute lymphoblastic leukemia;Cutaneous T-cell lymphoma;Ocular disease;Transplant rejection;Immune disorder,,,,"
"
1fh0_v,3,2.27,0.7568,-0.440501,1,1,1,0,0,0,Cathepsin L2,HYDROLASE,CATL2_HUMAN,Cysteine protease. May have an important role in corneal physiology.,NONE,Rheumatoid arthritis;Osteoarthritis;Cancer;Osteoporosis,,,,"
"
1tow_v,4,2.985,0.7463,0.647047,2,1,0,0,1,0,"Fatty acid-binding protein, adipocyte",LIPID TRANSPORT,FABP4_HUMAN,Lipid transport protein in adipocytes. Binds both long chain fatty acids and retinoic acid. Delivers long-chain fatty acids and retinoic acid to their cognate receptors in the nucleus (By similarity).,NONE,Non-insulin dependent diabetes,,,,"
"
1n83_v,4,2.983,0.7457,0.781412,4,0,0,0,0,0,Nuclear receptor ROR-alpha,LIPID BINDING PROTEIN,RORA_HUMAN,Orphan nuclear receptor. Binds DNA as a monomer to hormone response elements (HRE) containing a single core motif half-site preceded by a short A-T-rich sequence. This isomer binds to the consensus sequence 5-[AT][TA]A[AT][CGT]TAGGTCA-3.,NONE,NONE,,,,"
"
1mkd_v,4,2.971,0.7427,0.926527,2,2,0,0,0,0,"cAMP-specific 3,5-cyclic phosphodiesterase 4D",HYDROLASE,PDE4D_HUMAN,Regulates the levels of cAMP in the cell.,"Genetic variations in PDE4D might be associated with susceptibility to stroke type 1 (STRK1) [MIM:606799]. A stroke is an acute neurologic event leading to death of neural tissue of the brain and resulting in loss of motor, sensory and/or cognitive function. PubMed:17006457 states that association with stroke has to be considered with caution.",NONE,,,,"
"
1fdu_v,4,2.966,0.7415,0.834532,3,0,1,0,0,0,Estradiol 17-beta-dehydrogenase 1,NONE,P14061,Lipid transport and metabolism,NONE,"Some evidence suggests that NADH might be useful in treating Parkinsons disease, chronic fatigue syndrome, Alzheimers disease and cardiovascular disease.",,,,"
"
1hak_v,4,2.96,0.74,0.48045,3,1,0,0,0,0,Annexin A5,CALCIUM/PHOSPHOLIPID-BINDING,ANXA5_HUMAN,"This protein is an anticoagulant protein that acts as an indirect inhibitor of the thromboplastin-specific complex, which is involved in the blood coagulation cascade.",NONE,NONE,,,,"
"
2fb8_v,4,2.959,0.7398,0.882428,3,1,0,0,0,0,B-Raf proto-oncogene serine/threonine-protein kinase,TRANSFERASE,BRAF1_HUMAN,Involved in the transduction of mitogenic signals from the cell membrane to the nucleus. May play a role in the postsynaptic responses of hippocampal neuron.,"Defects in BRAF are a cause of cardiofaciocutaneous syndrome (CFC syndrome) [MIM:115150]; also known as cardio-facio- cutaneous syndrome. CFC syndrome is characterized by a distinctive facial appearance, heart defects and mental retardation. Heart defects include pulmonic stenosis, atrial septal defects and hypertrophic cardiomyopathy. Some affected individuals present with ectodermal abnormalities such as sparse, friable hair, hyperkeratotic skin lesions and a generalized ichthyosis-like condition. Typical facial features are similar to Noonan syndrome. They include high forehead with bitemporal constriction, hypoplastic supraorbital ridges, downslanting palpebral fissures, a depressed nasal bridge, and posteriorly angulated ears with prominent helices. The inheritance of CFC syndrome is autosomal dominant.;Defects in BRAF are involved in a wide range of cancers.;Defects in BRAF are involved in lung cancer [MIM:211980].;Defects in BRAF are involved in non-Hodgkin lymphoma (NHL) [MIM:605027]. NHL is a cancer that starts in cells of the lymph system, which is part of the bodys immune system. NHLs can occur at any age and are often marked by enlarged lymph nodes, fever and weight loss.;Defects in BRAF may be a cause of colorectal cancer (CRC) [MIM:114500].",Melanoma;Cancer,,,,"
"
2pe0_v,4,2.956,0.739,0.87322,3,1,0,0,0,0,3-phosphoinositide-dependent protein kinase 1,TRANSFERASE,PDPK1_HUMAN,"Phosphorylates and activates not only PKB/AKT, but also PKA, PKC-zeta, RPS6KA1 and RPS6KB1. May play a general role in signaling processes and in development (By similarity). Isoform 3 is catalytically inactive.",NONE,NONE,,,,"
"
2bz5_v,4,2.954,0.7384,1.0197,2,1,1,0,0,0,Heat shock protein HSP 90-alpha,CHAPERONE,HS90A_HUMAN,Molecular chaperone. Has ATPase activity (By similarity).,NONE,NONE,,,,"
"
